Longitude,Latitude
-100.069,49.790726
-100.115691,50.520566
-100.239167,50.03088
-100.271567,35.463181
-100.354769,54.360352
-100.438026,35.943489
-100.470536,45.144711
-100.484708,50.72113
-100.506717,31.454311
-100.534352,28.867221
-100.541119,42.881613
-100.546958,30.567312
-100.554995,31.541748
-100.600764,30.856862
-100.695124,45.674468
-100.716604,53.241693
-100.733885,32.057076
-100.733918,53.839016
-100.781342,45.681539
-100.791998,45.702546
-100.798279,45.670348
-100.800061,45.677547
-100.805815,45.669651
-100.817008,45.706558
-100.81773,50.061951
-100.823892,45.671883
-100.835084,33.619537
-100.920802,48.059864
-101.033822,43.117304
-101.242947,56.90815
-101.243117,48.198395
-101.252956,45.169773
-101.273708,53.990078
-101.358279,31.983089
-101.371743,32.274785
-101.378833,53.968964
-101.5205,53.687031
-101.654437,34.937296
-101.661912,43.515462
-101.850528,47.688303
-101.89562,33.634633
-101.951016,45.06506
-102.006472,45.030996
-102.021146,44.506989
-102.026259,45.023797
-102.124523,54.48204
-102.348852,43.331795
-102.406183,57.174584
-102.448887,60.335693
-102.484475,47.865372
-102.484536,47.976469
-102.510882,34.139843
-102.531389,33.787594
-102.536411,43.03894
-102.568511,43.056793
-102.684723,47.726326
-102.694536,34.03307
-102.72795,47.665043
-102.730673,47.630678
-102.731604,47.630239
-102.745437,31.917
-102.758038,47.59655
-102.783351,31.176753
-102.847338,30.917759
-103.004371,42.696626
-103.015389,42.717419
-103.150115,58.103706
-103.242601,56.327448
-103.282765,43.968476
-103.397853,42.589349
-103.416722,44.468708
-103.476473,43.757257
-103.501003,43.899822
-103.519025,43.772106
-103.618465,44.385946
-103.819209,44.10676
-103.922469,52.608032
-103.960107,30.483198
-104.108919,53.451425
-104.146546,67.52102
-104.175786,51.757151
-104.180698,42.065277
-104.190918,44.384251
-104.251527,47.688904
-104.399713,37.092075
-104.482656,36.98041
-104.55761,60.011556
-104.676336,37.505865
-104.712754,48.164749
-104.750829,39.394282
-104.80482,53.482667
-104.813767,40.413895
-104.864517,38.653679
-104.88613,38.758392
-104.891513,38.820469
-104.89387,38.873255
-104.908035,38.729317
-104.916884,38.970652
-104.942061,38.572086
-104.959486,38.981316
-104.9749,39.428151
-104.979107,39.069443
-104.980038,38.570938
-104.985973,38.920441
-104.987282,38.897781
-105.023649,38.937607
-105.037066,38.899541
-105.048704,38.687797
-105.064696,39.213547
-105.068093,38.895893
-105.069375,37.327595
-105.078623,39.445639
-105.082645,38.835812
-105.088789,39.06896
-105.097104,39.250717
-105.107432,38.098816
-105.1113,39.241018
